id,name,category,has_coords,visitor_ready,dwell_minutes,setting,good_for,booking,note,proposed_by,source_url,their_description
df6ecd2f-b27a-40c5-91a0-41b5599c5019,Beauty Services at 7 Reform Lane,services,NO — cannot be planned,false,,,,,,rules,,"Health and Beauty: Irene is HND trained with over 33 years experience as an Intense Pulsed Light (IPL) therapist, and also offers skin rejuvenation, electrolysi"
a3708b78-d115-4a0a-ba6d-cff31efb4855,Beauty109,services,NO — cannot be planned,false,,,,,,rules,,"Beauty109 offers a luxurious range of beauty treatments, providing clients with professional and personalised care in a relaxing environment. Conveniently locat"
7446bf6f-4a7b-4eed-835e-a5f61ed94ad3,Blyde Welcome,services,NO — cannot be planned,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,"Shetland's foremost training provider for the hospitality and tourism sector, Blyde Welcome can provide vocational or bespoke, hands-on training to match your s"
11da7f3c-aa82-4248-b3eb-7f63b88c9105,BML Accounts Ltd,services,NO — cannot be planned,false,,,,,,rules,,"BML Accounts is run by Ben Laurenson, an experienced tax manager with over seventeen years of working in accountancy. A member of the Association of Accounting "
6f52bef1-8964-438f-b93f-9a9e4591a9e9,Bressay Ferry Waiting Room,other,NO — cannot be planned,false,,,,,,rules,,"Waiting area for Bressay ferry passengers, located within Albert Building."
49bcf49e-d262-49b8-a4e8-9306449d16c2,British Red Cross Society,retail,NO — cannot be planned,true,30,indoor,,,,rules,,The British Red Cross has been helping millions of people in the UK and around the world get the support they need when crisis strikes. From hiring a wheelchair
e08070b8-dc56-47e2-93b6-c6aa66a5d21c,Burns Lane Clothing,services,NO — cannot be planned,false,,,,,,rules,,Burns Lane Clothing &ndash; it&rsquo;s right up your street Opened in May 2018 Owners Ian Pagulayan and Michael Laurenson decided to expand from their already s
8894d173-a4c9-4f0f-a887-93ca9b7737cf,C'est La Vie,services,NO — cannot be planned,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,"Welcome to C'est la Vie &ndash; A Taste of France in the Heart of Lerwick Nestled in the centre of Lerwick, Shetland, C'est la Vie is a French-inspired restaura"
80c4042c-9e63-4a5b-846f-5ed98795e89e,Camera Centre,services,NO — cannot be planned,false,,,,,,rules,,"From Canon to Nikon, Apple to Samsung, Camera Centre are your local photographic and mobile experts. Our dedication to service, photographic expertise and excel"
227a3fab-2db6-42ca-b021-aa1b2bd21f0b,Cancer Research UK,services,NO — cannot be planned,false,,,,,,rules,,"The Cancer Research Shop in Lerwick Town Centre stands as a beacon of community spirit and charitable endeavour. Located in Harrison Sq, this shop is dedicated "
2a837831-2f19-41c6-a0e2-73a6fbe3f209,Caroline Leask - Therapies,services,NO — cannot be planned,false,,,,,,rules,,"Play Therapy Shetland offers a confidential space for children, teens and adults. Here there are three services available; Counselling, Play Therapy and Parent/"
1bbc4def-4078-412f-a4ab-4cc7535db782,Da Harbour Chippy,services,NO — cannot be planned,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,"Da Harbour Chippy provides tasty and freshly cooked food every time, with friendly service. We have competitive pricing, a convenient Esplanade location and lon"
f2434fe1-6647-4cc1-8a6c-59860e48dafd,CASE Shetland LTD,services,NO — cannot be planned,false,,,,,,rules,,CASE Shetland was set up as an alternative to the larger engineering practices which have offices on the isles. There was a growing demand from the private sect
7b4289b2-d565-4e0f-b941-904521cc94ad,Cee & Jays,retail,NO — cannot be planned,true,30,indoor,,,,rules,,"Shetland Sports & Footwear is a premier retailer located in the heart of Lerwick, specialising in footwear, sports goods, and clothing. Serving the local commun"
765b21ee-8fa2-46dd-bdbe-b10bcfc7c657,Coffee Culture,food_drink,NO — cannot be planned,true,60,indoor,food_on_site,,,fsa:Restaurant/Cafe/Canteen,,"A warm welcome from Jigar and his friendly staff awaits at Coffee Culture, a delightful caf&eacute; in the heart of Lerwick. Known for its cozy atmosphere and e"
8f6d53a3-caa0-4ea7-b0bb-15e19ab99d69,Connie Laureen Jewellery,services,NO — cannot be planned,false,,,,,,rules,,Independent handmade jewellery shop located in the heart of Lerwick. This small independent jewellery shop is a real local treasure. Everything is handmade by C
2aa72f2f-d4dd-425b-baa8-a9259491ed56,Conochie's Newsagent & Post Office,services,NO — cannot be planned,false,,,,,,rules,,"Conochie's Newsagents, the most popular newsagent in Shetland, is conveniently located in the heart of Lerwick's town centre. Known for its wide range of produc"
e982ede4-44a6-4f82-9de6-66bcf7af50fe,CoWork,other,NO — cannot be planned,false,,,,,,rules,,"CoWork Shetland provides flexible office space in the heart of the capital, Lerwick. Take your business to the next level with your own dedicated desks, private"
558cbd70-2378-4b00-965e-67ffabe1881d,CU Marketing,services,NO — cannot be planned,false,,,,,,rules,,"CU Marketing Ltd. is dedicated to the belief that small local businesses are vital to any community, particularly in island regions such as Orkney and Shetland."
2de90984-5c2d-4a9d-8f74-2ef6ddb7f2e1,D.G Leslies,retail,NO — cannot be planned,true,30,indoor,,,,fsa:Retailers - other,,"DG Leslie is a well-established convenience store, off licence, and tobacconist located in the heart of Lerwick. Known for its diverse offerings and commitment "
fc595ffe-2a5b-4a98-8d56-0a233b739e3a,Eldamato,retail,NO — cannot be planned,true,30,indoor,,,,rules,,"Welcome to Eldamato: Your haven for spinning, felting, and local knitwear Located in the centre of Lerwick, just next door to the iconic Peerie Shop, Eldamato i"
26b88f3d-04b1-4a95-a128-a140da0bd1f4,Envi,services,NO — cannot be planned,false,,,,,,rules,,"Envi is a family-run hair salon located centrally at 110 Commercial Street, Lerwick. Conveniently situated near bus routes and with ample nearby parking, Envi i"
5e6f71f9-3514-4268-82b9-5f93419a6c7c,Ferry Terminal,other,NO — cannot be planned,false,,,,,,rules,,Ferry to Bressay https://www.shetland.gov.uk/ferries
9463fcb7-0f66-49fe-832d-fdab5b2bb8b3,Fort Charlotte Guest House,services,NO — cannot be planned,false,,,,,,rules,,"Fort Charlotte Guesthouse is a family run guesthouse ideally situated the heart of Lerwick, Shetland Islands. We pride ourselves on our great service, location "
64e5af28-d1c4-41b8-98f0-92367c55429c,Fort Fish & Chip Shop,food_drink,NO — cannot be planned,true,60,indoor,food_on_site,,,rules,,"Fort Chippy is a beloved Fish & Chip shop in Lerwick, renowned for serving some of the finest local fish in Shetland. Situated on Commerical Street opposite the"
a88e5fbd-1806-49e3-9087-70389356bdfe,George Robertson (Shetland) Ltd,services,NO — cannot be planned,false,,,,,,rules,,"Established in 1947, George Robertson (Shetland) Ltd has been in business for more than 75 years and is proud to be Shetland&rsquo;s leading electrical contract"
4b05f67e-f14c-4ec6-a36f-1d8433db6457,Graceful Beauty,services,NO — cannot be planned,false,,,,,,rules,,Grace Allan is a fully qualified Beauty Therapist who has been established in the trade for a number of years and is now opened up her own salon in the centre o
251365b5-1032-4171-96e1-cea4c0fb7fd5,Grantfield Garage,services,NO — cannot be planned,false,,,,,,rules,,Visiting and want to hire a car in the Shetland Islands? Our extensive car hire and van hire stock contains the vehicle best suited to your needs. We have Self 
6b7ce222-d3e3-48dc-8bde-377194f8aa04,Harry's Department Store,services,NO — cannot be planned,false,,,,,,rules,,"Harry's is a friendly, family-run business spread across three floors, offering a diverse range of products to meet all your needs. What You'll Find: Ground Flo"
a0276834-cf84-44cf-900a-c6e34d0bda48,NB Communication Ltd,services,NO — cannot be planned,false,,,,,,rules,,"We are NB Communication, experts in digital strategy. Founded in the beautiful Shetland Islands, with a 2nd base in Edinburgh, we work for clients throughout th"
3b3d76fd-ec58-4b46-a5f1-89cb717796cc,High Level Music,services,NO — cannot be planned,false,,,,,,rules,,High Level Music has been in business for 21 years. They moved into their new shop 5 years ago and the business has gone from strength to strength. You can find
3adff17b-05d7-4a7b-b7b6-496a565b7083,Highland Fuels Ltd,other,NO — cannot be planned,false,,,,,,rules,,"Scotland&rsquo;s leading independent fuel distributor. We are committed to providing outstanding, professional customer service and we pride ourselves on our re"
8ba7122e-53aa-49f5-8bae-aff88528ab77,Historic Scotland,services,NO — cannot be planned,false,,,,,,rules,,Fort Charlotte overlooks the strategic Sound of Bressay. It was built to defend the sound against Dutch and later French warships. Some sort of fortification wa
29e8f8a3-fe8a-478d-a8fe-ea75240ed091,Icare,services,NO — cannot be planned,false,,,,,,rules,,Optometrist based in Lerwick At ICare Shetland we pride ourselves on providing a high quality service and the cornerstone of this service is the eye examination
09bd2e45-5581-4db9-a910-0e852164a086,Independent Finance (Shetland),services,NO — cannot be planned,false,,,,,,rules,,Ian Thomson DipFA Cemap is an Independent Financial Adviser trading as Independent Finance (Shetland)
5a27f75e-0446-4837-a4d9-1641ff0d5a5b,Intersport,retail,NO — cannot be planned,true,30,indoor,,,,rules,,The World's Leading Sports Retail Brand right on your door step. Guaranteeing satisfaction and support to bring you a worry-free shopping experience. We guarant
0db30912-071e-41bb-a34a-03619ec7a5d9,Island Larder,food_drink,NO — cannot be planned,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,We are a small family-owned business committed to using and showcasing the very best of Shetland produce. Since launching Island Larder in 2017 we have revamped
134a0312-1442-453d-a760-3f591aa3370f,J.G.Rae Shetland,retail,NO — cannot be planned,true,30,indoor,,,,rules,,Jack Rae trained as a jeweller in Edinburgh and moved to the island of Foula in Shetland in 1945. He later moved to Weisdale on the Shetland mainland and starte
83190905-d239-4a78-9cd4-ce565582bf56,Jamiesons of Shetland,retail,NO — cannot be planned,true,30,indoor,,,,rules,,"Jamieson&rsquo;s is a family owned business, which has specialised in wool from the native Shetland sheep for 5 generations. The family are dedicated to the sur"
61a92467-9698-40ab-bc89-0ff6592c508f,Puffin Rebublic,other,NO — cannot be planned,false,,,,,,rules,,
ca08ead8-339a-4a27-a183-8d1e162387b4,JLP Internet,services,NO — cannot be planned,false,,,,,,rules,,JLP Internet- Shetland Web Design and Online Services. Here at JLP Internet we help businesses unlock the power of the Internet to reach more customers online a
0ddf1176-f8bb-4974-b9a2-5a8ea8391e5c,Jon Stone Hair,services,NO — cannot be planned,false,,,,,,rules,,"Looking for a barber or a hairstylist specialised in taking care of your hair in LERWICK, SHETLAND? JON STONE, welcomes you for a unique and unforgettable salon"
d9339541-480b-4477-9349-d594582e1379,Juice Culture,other,NO — cannot be planned,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,"Juices,Smoothies,Bubble Tea,Candy Floss,Popcorn,Waffles and much more..."
550f3d41-16e9-4e56-931c-d39cbfe0a895,Just Gents Barbers,services,NO — cannot be planned,false,,,,,,rules,,Gents Barber shop
fd7db0d5-0765-444d-9013-e41c798495b2,Kool Kutz,services,NO — cannot be planned,false,,,,,,rules,,"Kool Kutz is a long established, family run business, providing a range of hairdressing services to the Shetland community. Furthermore we provide retail servic"
e6344a40-f9c7-4a5d-83a9-cdd5fdab102e,Kung Fu Cuisine,food_drink,NO — cannot be planned,true,15,indoor,quick_stop,,,fsa:Takeaway/sandwich shop,,Our Lunch Special Bar is open from 12pm - 2pm where you can pick rice or noodles aswell as a main course in our lunch boxes. Menu Orders available from 11am - 8
